"time","Mass.s","Mass.v","der(Mass.s)","der(Mass.v)","Mass.a","Mass.flange_a.s","Mass.flange_b.f","Mass.flange_b.s","Spring.f","Spring.s_rel","Fixed.flange.f","Mass.flange_a.f","Spring.flange_a.f","Spring.flange_b.f","Spring.flange_b.s"
0.172,0.3505377567469359,2.071014138083043,2.071014138083043,0.3247311216265321,0.3247311216265321,-0.6494622432530641,0,1.350537756746936,-0.6494622432530641,-0.6494622432530641,-0.6494622432530641,0.6494622432530641,0.6494622432530641,-0.6494622432530641,-0.6494622432530641
0.174,0.3546804428200518,2.07166154350912,2.07166154350912,0.3226597785899741,0.3226597785899741,-0.6453195571799482,0,1.354680442820052,-0.6453195571799482,-0.6453195571799482,-0.6453195571799482,0.6453195571799482,0.6453195571799482,-0.6453195571799482,-0.6453195571799482
0.176,0.3588244201642801,2.072304806721279,2.072304806721279,0.32058778991786,0.32058778991786,-0.6411755798357199,0,1.35882442016428,-0.6411755798357199,-0.6411755798357199,-0.6411755798357199,0.6411755798357199,0.6411755798357199,-0.6411755798357199,-0.6411755798357199
0.178,0.3629696806077998,2.072943926399217,2.072943926399217,0.3185151596961001,0.3185151596961001,-0.6370303193922002,0,1.3629696806078,-0.6370303193922002,-0.6370303193922002,-0.6370303193922002,0.6370303193922002,0.6370303193922002,-0.6370303193922002,-0.6370303193922002
0.18,0.3671162159787899,2.073578901222635,2.073578901222635,0.3164418920106051,0.3164418920106051,-0.6328837840212101,0,1.36711621597879,-0.6328837840212101,-0.6328837840212101,-0.6328837840212101,0.6328837840212101,0.6328837840212101,-0.6328837840212101,-0.6328837840212101
0.182,0.3712640181054294,2.07420972987123,2.07420972987123,0.3143679909472853,0.3143679909472853,-0.6287359818945706,0,1.371264018105429,-0.6287359818945706,-0.6287359818945706,-0.6287359818945706,0.6287359818945706,0.6287359818945706,-0.6287359818945706,-0.6287359818945706
0.184,0.3754130788158975,2.074836411024701,2.074836411024701,0.3122934605920512,0.3122934605920512,-0.6245869211841024,0,1.375413078815898,-0.6245869211841024,-0.6245869211841024,-0.6245869211841024,0.6245869211841024,0.6245869211841024,-0.6245869211841024,-0.6245869211841024
0.186,0.3795633899383733,2.075458943362748,2.075458943362748,0.3102183050308134,0.3102183050308134,-0.6204366100616268,0,1.379563389938373,-0.6204366100616268,-0.6204366100616268,-0.6204366100616268,0.6204366100616268,0.6204366100616268,-0.6204366100616268,-0.6204366100616268
0.188,0.3837149433010356,2.076077325565069,2.076077325565069,0.3081425283494822,0.3081425283494822,-0.6162850566989644,0,1.383714943301036,-0.6162850566989644,-0.6162850566989644,-0.6162850566989644,0.6162850566989644,0.6162850566989644,-0.6162850566989644,-0.6162850566989644
0.19,0.3878677307320638,2.076691556311364,2.076691556311364,0.3060661346339681,0.3060661346339681,-0.6121322692679363,0,1.387867730732064,-0.6121322692679363,-0.6121322692679363,-0.6121322692679363,0.6121322692679363,0.6121322692679363,-0.6121322692679363,-0.6121322692679363
0.192,0.3920217440596365,2.07730163428133,2.07730163428133,0.3039891279701817,0.3039891279701817,-0.6079782559403635,0,1.392021744059637,-0.6079782559403635,-0.6079782559403635,-0.6079782559403635,0.6079782559403635,0.6079782559403635,-0.6079782559403635,-0.6079782559403635
0.194,0.3961769751119332,2.077907558154667,2.077907558154667,0.3019115124440334,0.3019115124440334,-0.6038230248880667,0,1.396176975111933,-0.6038230248880667,-0.6038230248880667,-0.6038230248880667,0.6038230248880667,0.6038230248880667,-0.6038230248880667,-0.6038230248880667
0.196,0.4003334157171327,2.078509326611074,2.078509326611074,0.2998332921414336,0.2998332921414336,-0.5996665842828672,0,1.400333415717133,-0.5996665842828672,-0.5996665842828672,-0.5996665842828672,0.5996665842828672,0.5996665842828672,-0.5996665842828672,-0.5996665842828672
